time,link,area,delta_p
0.0,L1,0.015,15.0
0.0,L2,0.015,20.0
0.0,L3,0.003,15.0
0.0,L4,0.003,10.0
0.01,L1,0.015,15.0
0.01,L2,0.015,20.0
0.01,L3,0.003,15.0
0.01,L4,0.003,10.0
0.02,L1,0.015,15.0
0.02,L2,0.015,20.0
0.02,L3,0.003,15.0
0.02,L4,0.003,10.0
0.03,L1,0.015,15.0
0.03,L2,0.015,20.0
0.03,L3,0.003,15.0
0.03,L4,0.003,10.0
0.04,L1,0.015,15.0
0.04,L2,0.015,20.0
0.04,L3,0.003,15.0
0.04,L4,0.003,10.0
0.05,L1,0.015,15.0
0.05,L2,0.015,20.0
0.05,L3,0.003,15.0
0.05,L4,0.003,10.0
0.060000000000000005,L1,0.015,15.0
0.060000000000000005,L2,0.015,20.0
0.060000000000000005,L3,0.003,15.0
0.060000000000000005,L4,0.003,10.0
0.07,L1,0.015,15.0
0.07,L2,0.015,20.0
0.07,L3,0.003,15.0
0.07,L4,0.003,10.0
0.08,L1,0.015,15.0
0.08,L2,0.015,20.0
0.08,L3,0.003,15.0
0.08,L4,0.003,10.0
0.09,L1,0.015,15.0
0.09,L2,0.015,20.0
0.09,L3,0.003,15.0
0.09,L4,0.003,10.0
0.09999999999999999,L1,0.015,15.0
0.09999999999999999,L2,0.015,20.0
0.09999999999999999,L3,0.003,15.0
0.09999999999999999,L4,0.003,10.0
0.10999999999999999,L1,0.015,15.0
0.10999999999999999,L2,0.015,20.0
0.10999999999999999,L3,0.003,15.0
0.10999999999999999,L4,0.003,10.0
0.11999999999999998,L1,0.015,15.0
0.11999999999999998,L2,0.015,20.0
0.11999999999999998,L3,0.003,15.0
0.11999999999999998,L4,0.003,10.0
0.12999999999999998,L1,0.015,15.0
0.12999999999999998,L2,0.015,20.0
0.12999999999999998,L3,0.003,15.0
0.12999999999999998,L4,0.003,10.0
0.13999999999999999,L1,0.015,15.0
0.13999999999999999,L2,0.015,20.0
0.13999999999999999,L3,0.003,15.0
0.13999999999999999,L4,0.003,10.0
0.15,L1,0.015,15.0
0.15,L2,0.015,20.0
0.15,L3,0.003,15.0
0.15,L4,0.003,10.0
0.16,L1,0.015,15.0
0.16,L2,0.015,20.0
0.16,L3,0.003,15.0
0.16,L4,0.003,10.0
0.17,L1,0.015,15.0
0.17,L2,0.015,20.0
0.17,L3,0.003,15.0
0.17,L4,0.003,10.0
0.18000000000000002,L1,0.015,15.0
0.18000000000000002,L2,0.015,20.0
0.18000000000000002,L3,0.003,15.0
0.18000000000000002,L4,0.003,10.0
0.19000000000000003,L1,0.015,15.0
0.19000000000000003,L2,0.015,20.0
0.19000000000000003,L3,0.003,15.0
0.19000000000000003,L4,0.003,10.0
0.20000000000000004,L1,0.015,15.0
0.20000000000000004,L2,0.015,20.0
0.20000000000000004,L3,0.003,15.0
0.20000000000000004,L4,0.003,10.0
0.21000000000000005,L1,0.015,15.0
0.21000000000000005,L2,0.015,20.0
0.21000000000000005,L3,0.003,15.0
0.21000000000000005,L4,0.003,10.0
0.22000000000000006,L1,0.015,15.0
0.22000000000000006,L2,0.015,20.0
0.22000000000000006,L3,0.003,15.0
0.22000000000000006,L4,0.003,10.0
0.23000000000000007,L1,0.015,15.0
0.23000000000000007,L2,0.015,20.0
0.23000000000000007,L3,0.003,15.0
0.23000000000000007,L4,0.003,10.0
0.24000000000000007,L1,0.015,15.0
0.24000000000000007,L2,0.015,20.0
0.24000000000000007,L3,0.003,15.0
0.24000000000000007,L4,0.003,10.0
0.25000000000000006,L1,0.015,15.0
0.25000000000000006,L2,0.015,20.0
0.25000000000000006,L3,0.003,15.0
