time,zone,pressure
0.0,EXTERIOR,0.0
0.0,GRANULACION_II,30.0
0.0,ESC_MAT,15.0
0.0,ESC_PER,10.0
0.01,EXTERIOR,0.0
0.01,GRANULACION_II,30.0
0.01,ESC_MAT,15.0
0.01,ESC_PER,10.0
0.02,EXTERIOR,0.0
0.02,GRANULACION_II,30.0
0.02,ESC_MAT,15.0
0.02,ESC_PER,10.0
0.03,EXTERIOR,0.0
0.03,GRANULACION_II,30.0
0.03,ESC_MAT,15.0
0.03,ESC_PER,10.0
0.04,EXTERIOR,0.0
0.04,GRANULACION_II,30.0
0.04,ESC_MAT,15.0
0.04,ESC_PER,10.0
0.05,EXTERIOR,0.0
0.05,GRANULACION_II,30.0
0.05,ESC_MAT,15.0
0.05,ESC_PER,10.0
0.060000000000000005,EXTERIOR,0.0
0.060000000000000005,GRANULACION_II,30.0
0.060000000000000005,ESC_MAT,15.0
0.060000000000000005,ESC_PER,10.0
0.07,EXTERIOR,0.0
0.07,GRANULACION_II,30.0
0.07,ESC_MAT,15.0
0.07,ESC_PER,10.0
0.08,EXTERIOR,0.0
0.08,GRANULACION_II,30.0
0.08,ESC_MAT,15.0
0.08,ESC_PER,10.0
0.09,EXTERIOR,0.0
0.09,GRANULACION_II,30.0
0.09,ESC_MAT,15.0
0.09,ESC_PER,10.0
0.09999999999999999,EXTERIOR,0.0
0.09999999999999999,GRANULACION_II,30.0
0.09999999999999999,ESC_MAT,15.0
0.09999999999999999,ESC_PER,10.0
0.10999999999999999,EXTERIOR,0.0
0.10999999999999999,GRANULACION_II,30.0
0.10999999999999999,ESC_MAT,15.0
0.10999999999999999,ESC_PER,10.0
0.11999999999999998,EXTERIOR,0.0
0.11999999999999998,GRANULACION_II,30.0
0.11999999999999998,ESC_MAT,15.0
0.11999999999999998,ESC_PER,10.0
0.12999999999999998,EXTERIOR,0.0
0.12999999999999998,GRANULACION_II,30.0
0.12999999999999998,ESC_MAT,15.0
0.12999999999999998,ESC_PER,10.0
0.13999999999999999,EXTERIOR,0.0
0.13999999999999999,GRANULACION_II,30.0
0.13999999999999999,ESC_MAT,15.0
0.13999999999999999,ESC_PER,10.0
0.15,EXTERIOR,0.0
0.15,GRANULACION_II,30.0
0.15,ESC_MAT,15.0
0.15,ESC_PER,10.0
0.16,EXTERIOR,0.0
0.16,GRANULACION_II,30.0
0.16,ESC_MAT,15.0
0.16,ESC_PER,10.0
0.17,EXTERIOR,0.0
0.17,GRANULACION_II,30.0
0.17,ESC_MAT,15.0
0.17,ESC_PER,10.0
0.18000000000000002,EXTERIOR,0.0
0.18000000000000002,GRANULACION_II,30.0
0.18000000000000002,ESC_MAT,15.0
0.18000000000000002,ESC_PER,10.0
0.19000000000000003,EXTERIOR,0.0
0.19000000000000003,GRANULACION_II,30.0
0.19000000000000003,ESC_MAT,15.0
0.19000000000000003,ESC_PER,10.0
0.20000000000000004,EXTERIOR,0.0
0.20000000000000004,GRANULACION_II,30.0
0.20000000000000004,ESC_MAT,15.0
0.20000000000000004,ESC_PER,10.0
0.21000000000000005,EXTERIOR,0.0
0.21000000000000005,GRANULACION_II,30.0
0.21000000000000005,ESC_MAT,15.0
0.21000000000000005,ESC_PER,10.0
0.22000000000000006,EXTERIOR,0.0
0.22000000000000006,GRANULACION_II,30.0
0.22000000000000006,ESC_MAT,15.0
0.22000000000000006,ESC_PER,10.0
0.23000000000000007,EXTERIOR,0.0
0.23000000000000007,GRANULACION_II,30.0
0.23000000000000007,ESC_MAT,15.0
0.23000000000000007,ESC_PER,10.0
0.24000000000000007,EXTERIOR,0.0
0.24000000000000007,GRANULACION_II,30.0
0.24000000000000007,ESC_MAT,15.0
0.24000000000000007,ESC_PER,10.0
0.25000000000000006,EXTERIOR,0.0
0.25000000000000006,GRANULACION_II,30.0
0.25000000000000006,ESC_MAT,15.0
0.25000000000000006,ESC_PER,10.0
0.26000000000000006,EXTERIOR,0.0
0.26000000000000006,GRANULACION_II,30.0
0.26000000000000006,ESC_MAT,15.0
0.26000000000000006,ESC_PER,10.0
0.2700000000000001,EXTERIOR,0.0
0.2700000000000001,GRANULACION_II,30.0
0.2700000000000001,ESC_MAT,15.0
0.2700000000000001,ESC_PER,10.0
0.2800000000000001,EXTERIOR,0.0
0.2800000000000001,GRANULACION_II,30.0
0.2800000000000001,ESC_MAT,15.0
0.2800000000000001,ESC_PER,10.0
0.2900000000000001,EXTERIOR,0.0
0.2900000000000001,GRANULACION_II,30.0
0.2900000000000001,ESC_MAT,15.0
0.2900000000000001,ESC_PER,10.0
0.3000000000000001,EXTERIOR,0.0
0.3000000000000001,GRANULACION_II,30.0
0.3000000000000001,ESC_MAT,15.0
0.3000000000000001,ESC_PER,10.0
0.3100000000000001,EXTERIOR,0.0
0.3100000000000001,GRANULACION_II,30.0
0.3100000000000001,ESC_MAT,15.0
0.3100000000000001,ESC_PER,10.0
0.3200000000000001,EXTERIOR,0.0
0.3200000000000001,GRANULACION_II,30.0
0.3200000000000001,ESC_MAT,15.0
0.3200000000000001,ESC_PER,10.0
0.3300000000000001,EXTERIOR,0.0
0.3300000000000001,GRANULACION_II,30.0
0.3300000000000001,ESC_MAT,15.0
0.3300000000000001,ESC_PER,10.0
0.34000000000000014,EXTERIOR,0.0
0.34000000000000014,GRANULACION_II,30.0
0.34000000000000014,ESC_MAT,15.0
0.34000000000000014,ESC_PER,10.0
0.35000000000000014,EXTERIOR,0.0
0.35000000000000014,GRANULACION_II,30.0
0.35000000000000014,ESC_MAT,15.0
0.35000000000000014,ESC_PER,10.0
0.36000000000000015,EXTERIOR,0.0
0.36000000000000015,GRANULACION_II,30.0
0.36000000000000015,ESC_MAT,15.0
0.36000000000000015,ESC_PER,10.0
0.37000000000000016,EXTERIOR,0.0
0.37000000000000016,GRANULACION_II,30.0
0.37000000000000016,ESC_MAT,15.0
0.37000000000000016,ESC_PER,10.0
0.38000000000000017,EXTERIOR,0.0
0.38000000000000017,GRANULACION_II,30.0
0.38000000000000017,ESC_MAT,15.0
0.38000000000000017,ESC_PER,10.0
0.3900000000000002,EXTERIOR,0.0
0.3900000000000002,GRANULACION_II,30.0
0.3900000000000002,ESC_MAT,15.0
0.3900000000000002,ESC_PER,10.0
0.4000000000000002,EXTERIOR,0.0
0.4000000000000002,GRANULACION_II,30.0
0.4000000000000002,ESC_MAT,15.0
0.4000000000000002,ESC_PER,10.0
0.4100000000000002,EXTERIOR,0.0
0.4100000000000002,GRANULACION_II,30.0
0.4100000000000002,ESC_MAT,15.0
0.4100000000000002,ESC_PER,10.0
0.4200000000000002,EXTERIOR,0.0
0.4200000000000002,GRANULACION_II,30.0
0.4200000000000002,ESC_MAT,15.0
0.4200000000000002,ESC_PER,10.0
0.4300000000000002,EXTERIOR,0.0
0.4300000000000002,GRANULACION_II,30.0
0.4300000000000002,ESC_MAT,15.0
0.4300000000000002,ESC_PER,10.0
0.4400000000000002,EXTERIOR,0.0
0.4400000000000002,GRANULACION_II,30.0
0.4400000000000002,ESC_MAT,15.0
0.4400000000000002,ESC_PER,10.0
0.45000000000000023,EXTERIOR,0.0
0.45000000000000023,GRANULACION_II,30.0
0.45000000000000023,ESC_MAT,15.0
